Data_Status,StateCode,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020F,RI,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020F,SC,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020F,SD,CLPRB,262,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020F,TN,CLPRB,148915,147157,156047,153712,150422,147283,158433,171566,204614,202957,206849,232815,282763,197037,174792,189767,221457,221425,236698,209549,239030,258106,183943,165983,183261,185152,171635,160942,163480,162633,156330,108022,88068,77469,76207,82105,91365,82707,67036,75919,68027,84824,81658,65617,73354,82083,71957,67714,59086,50347,45030,38576,28372,28376,21711,23192,16596,11168,5922,11341,2377
2020F,TX,CLPRB,26409,26535,25855,27441,28839,30349,28360,27102,28839,28310,29078,28360,50918,97216,107576,144160,182651,209460,265268,356524,385041,418838,448801,493048,515269,574734,615490,640051,658102,675280,706720,674067,685491,682967,660044,664511,709509,687914,677016,671989,632360,578696,581168,594734,572489,595612,593496,554720,515493,455507,538258,605290,578697,564850,576803,471257,515707,474274,328812,308449,262510
2020F,US,CLPRB,10590206,10239471,10670680,11605467,12273824,12831858,13281168,13697146,13486770,13832984,14877023,13517653,14391826,14006108,14025005,14981863,15689495,15759938,14979104,17617675,18629602,18523580,18826604,17364161,19914476,19514305,19676150,20295490,20949127,21517324,22761184,21869054,21897732,20358442,22345526,22178769,22839407,23412530,23917422,23177242,22595116,23587925,22729814,22054837,22821746,23183084,23643934,23337321,23706398,21689785,21831301,22057248,20585319,19901802,20170837,17931020,14538027,15549225,15280478,14290746,10723138
2020F,UT,CLPRB,114689,119411,99459,100917,109250,115545,107282,96635,99899,107791,109551,107074,111148,134315,142066,165908,179080,198555,210600,280172,309778,319632,396545,271785,285333,301122,331530,383552,420403,459838,511406,507979,492997,506837,566914,586398,640410,616384,600793,620369,631270,640594,586926,536150,490146,554221,593321,556436,564147,502598,445692,453869,387129,385736,410997,325216,310453,317768,305328,326024,296168
2020F,VA,CLPRB,752355,818669,794606,823684,855445,921140,961710,992721,998969,964455,960260,838224,930648,867073,862074,886808,1020380,947701,803194,961044,1063349,1104467,1048592,933640,1079425,1100878,1106055,1193987,1243991,1155118,1276214,1131253,1159688,1046530,987555,913518,946719,956413,905967,854725,870044,863870,793381,827937,817769,716557,768443,656314,623303,535643,564326,562805,493398,456766,393225,365832,335590,343642,318949,320290,251899
2020F,VT,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020F,WA,CLPRB,3714,3111,3828,3095,1108,896,961,961,2899,945,603,18471,42903,52974,63391,60637,66566,81923,76270,82166,83268,75087,67457,63034,62726,71896,74536,72074,84209,81690,81056,82320,83184,74933,77210,78433,72089,71253,72809,63997,66520,72134,91335,97712,89958,82685,40268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020F,WI,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020F,WV,CLPRB,2971458,2821061,2953044,3305985,3532592,3730403,3741366,3842089,3645105,3535711,3652113,2991677,3128328,2972141,2605821,2769249,2768788,2422787,2148688,2891197,3112014,2934294,3344594,3003769,3413581,3339898,3391600,3561008,3802175,3996483,4450036,4391171,4250361,3382972,4203423,4217195,4392067,4464061,4413049,4021540,4015521,4085483,3805093,3524504,3724793,3848482,3802035,3855269,3870325,3379357,3346117,3321102,3059090,2874653,2858022,2447181,2041073,2390309,2468639,2422224,1748361
2020F,WY,CLPRB,35173,43949,44644,54288,53889,56652,63777,62352,66540,79973,125503,139927,189905,275588,386138,434560,562876,829722,1040681,1273792,1689894,1805421,1883980,1951950,2262190,2430658,2363205,2536336,2850214,2972702,3194482,3356524,3301795,3633351,4093410,4551803,4817051,4886100,5450488,5837971,5892281,6407633,6486135,6551331,6908962,7019843,7739988,7847634,8087435,7459876,7658286,7591675,6973727,6760447,6880205,6538240,5169939,5516757,5315953,4828513,3822600
